cutoff,9,,,,,,,,,,,,,,,,,,
Database,FE2050,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Activity,"electricity production, from vehicle-to-grid, FE2050",,,,,,,,,,,,,,,,,,
production amount,1.00E+00,,,,,,,,,,,,,,,,,,
comment,"1 kWh of electricity discharged from a BEV. Accounts for charge and discharge losses: 15% and 12%, in 2020, respectively.",,,,,,,,,,,,,,,,,,
reference product,"electricity, low voltage",,,,,,,,,,,,,,,,,,
location,FR,,,,,,,,,,,,,,,,,,
unit,kilowatt hour,,,,,,,,,,,,,,,,,,
Exchanges,,,,,,,,,,,,,,,,,,,
name,amount,location,unit,type,reference product,categories,comment,,,,,,,,,,,,
"electricity production, from vehicle-to-grid, FE2050",1.00E+00,FR,kilowatt hour,production,"electricity, low voltage",,,,,,,,,,,,,,
"market for electricity, low voltage",1.29E+00,FR,kilowatt hour,technosphere,"electricity, low voltage",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Activity,"electricity production, from stationary battery, FE2050",,,,,,,,,,,,,,,,,,
production amount,1.00E+00,,,,,,,,,,,,,,,,,,
comment,"1 kWh of electricity discharged from a stationary battery. Accounts for charge and discharge losses: 19%. The original dataset is a 19.5 kWh home storage system, using NMC811 cells. The system has a stand-by consumption of 22 W over 6000 hours per year. Assumes lifetime of 2500 charge-discharge cycles over 13 years, and a maximum depth of discharge of 80%. IN total, the system delivers 2500 [cycles] x 80% x 19.5 [Wh] = 39000 kWh.",,,,,,,,,,,,,,,,,,
reference product,"electricity, high voltage",,,,,,,,,,,,,,,,,,
location,FR,,,,,,,,,,,,,,,,,,
unit,kilowatt hour,,,,,,,,,,,,,,,,,,
Exchanges,,,,,,,,,,,,,,,,,,,
name,amount,location,unit,type,reference product,categories,comment,,,,,,,,,,,,
"electricity production, from vehicle-to-grid, FE2050",1.00E+00,FR,kilowatt hour,production,"electricity, high voltage",,,,,,,,,,,,,,
"market for electricity, low voltage",1.19E+00,FR,kilowatt hour,technosphere,"electricity, low voltage",,Accounts for the round trip efficiency of 81%.,,,,,,,,,,,,
"market for electricity, low voltage",4.40E-02,FR,kilowatt hour,technosphere,"electricity, low voltage",,Accounts or standby electricity consumption.,,,,,,,,,,,,
"home electricity storage system, 19.5 kWh, NMC811 battery",2.56E-05,RER,unit,technosphere,home electricity storage system,,Home storage system,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Activity,"electricity production, from hydrogen, FE2050",,,,,,,,,,,,,,,,,,
production amount,1.00E+00,,,,,,,,,,,,,,,,,,
comment,"1 kWh of electricity produced using hydrogen through a PEM fuel cell stack, for seasonal storage. Assumes a 90% load factor, 6 years lifetime. A 50% electrical efficiency is assumed in 2020, according to Cigolotti, V.; Genovese, M.; Fragiacomo, P. Comprehensive Review on Fuel Cell Technology for Stationary Applications as Sustainable and Efficient Poly-Generation Energy Systems. Energies 2021, 14, 4963. https://doi.org/10.3390/en14164963.",,,,,,,,,,,,,,,,,,
reference product,"electricity, high voltage",,,,,,,,,,,,,,,,,,
location,FR,,,,,,,,,,,,,,,,,,
unit,kilowatt hour,,,,,,,,,,,,,,,,,,
Exchanges,,,,,,,,,,,,,,,,,,,
name,amount,location,unit,type,reference product,categories,comment,,,,,,,,,,,,
"electricity production, from hydrogen, FE2050",1.00E+00,FR,kilowatt hour,production,"electricity, high voltage",,,,,,,,,,,,,,
"fuel cell production, stack polymer electrolyte membrane, 2kW electrical, future",6.67E-05,CH,unit,technosphere,"fuel cell, stack polymer electrolyte membrane, 2kW electrical, future",,,,,,,,,,,,,,
"hydrogen production, gaseous, 30 bar, from PEM electrolysis, from grid electricity, domestic, FE2050",6.00E-02,FR,kilogram,technosphere,"hydrogen, gaseous, 30 bar",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Activity,"hydrogen production, gaseous, 30 bar, from PEM electrolysis, from grid electricity, domestic, FE2050",,,,,,,,,,,,,,,,,,
production amount,1.00E+00,,,,,,,,,,,,,,,,,,
