name,reference product
"softwood forestry, spruce, sustainable forest management","sawlog and veneer log, softwood, measured as solid wood under bark"
"softwood forestry, spruce, sustainable forest management","sawlog and veneer log, softwood, measured as solid wood under bark"
"softwood forestry, spruce, sustainable forest management","sawlog and veneer log, softwood, measured as solid wood under bark"
"softwood forestry, spruce, sustainable forest management","sawlog and veneer log, softwood, measured as solid wood under bark"
"softwood forestry, spruce, sustainable forest management","sawlog and veneer log, softwood, measured as solid wood under bark"
"softwood forestry, spruce, sustainable forest management","sawlog and veneer log, softwood, measured as solid wood under bark"
"softwood forestry, spruce, sustainable forest management","sawlog and veneer log, softwood, measured as solid wood under bark"
"softwood forestry, spruce, sustainable forest management","sawlog and veneer log, softwood, measured as solid wood under bark"
"softwood forestry, spruce, sustainable forest management","sawlog and veneer log, softwood, measured as solid wood under bark"
"softwood forestry, spruce, sustainable forest management","sawlog and veneer log, softwood, measured as solid wood under bark"
"softwood forestry, spruce, sustainable forest management","sawlog and veneer log, softwood, measured as solid wood under bark"
"softwood forestry, spruce, sustainable forest management","sawlog and veneer log, softwood, measured as solid wood under bark"
"softwood forestry, spruce, sustainable forest management","sawlog and veneer log, softwood, measured as solid wood under bark"
"softwood forestry, spruce, sustainable forest management","sawlog and veneer log, softwood, measured as solid wood under bark"
"softwood forestry, spruce, sustainable forest management","sawlog and veneer log, softwood, measured as solid wood under bark"
"softwood forestry, spruce, sustainable forest management","sawlog and veneer log, softwood, measured as solid wood under bark"
"softwood forestry, spruce, sustainable forest management","sawlog and veneer log, softwood, measured as solid wood under bark"
"softwood forestry, spruce, sustainable forest management","cleft timber, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","cleft timber, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","cleft timber, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","cleft timber, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","cleft timber, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","cleft timber, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","cleft timber, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","cleft timber, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","cleft timber, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","cleft timber, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","cleft timber, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","cleft timber, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","cleft timber, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","cleft timber, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","cleft timber, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","cleft timber, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","cleft timber, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","wood chips, wet, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","wood chips, wet, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","wood chips, wet, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","wood chips, wet, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","wood chips, wet, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","wood chips, wet, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","wood chips, wet, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","wood chips, wet, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","wood chips, wet, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","wood chips, wet, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","wood chips, wet, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","wood chips, wet, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","wood chips, wet, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","wood chips, wet, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","wood chips, wet, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","wood chips, wet, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","wood chips, wet, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","bundle, energy wood, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","bundle, energy wood, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","bundle, energy wood, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","bundle, energy wood, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","bundle, energy wood, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","bundle, energy wood, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","bundle, energy wood, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","bundle, energy wood, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","bundle, energy wood, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","bundle, energy wood, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","bundle, energy wood, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","bundle, energy wood, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","bundle, energy wood, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","bundle, energy wood, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","bundle, energy wood, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","bundle, energy wood, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","bundle, energy wood, measured as dry mass"
"softwood forestry, spruce, sustainable forest management","pulpwood, softwood, measured as solid wood under bark"
"softwood forestry, spruce, sustainable forest management","pulpwood, softwood, measured as solid wood under bark"
"softwood forestry, spruce, sustainable forest management","pulpwood, softwood, measured as solid wood under bark"
"softwood forestry, spruce, sustainable forest management","pulpwood, softwood, measured as solid wood under bark"
"softwood forestry, spruce, sustainable forest management","pulpwood, softwood, measured as solid wood under bark"
"softwood forestry, spruce, sustainable forest management","pulpwood, softwood, measured as solid wood under bark"
"softwood forestry, spruce, sustainable forest management","pulpwood, softwood, measured as solid wood under bark"
"softwood forestry, spruce, sustainable forest management","pulpwood, softwood, measured as solid wood under bark"
"softwood forestry, spruce, sustainable forest management","pulpwood, softwood, measured as solid wood under bark"
"softwood forestry, spruce, sustainable forest management","pulpwood, softwood, measured as solid wood under bark"
"softwood forestry, spruce, sustainable forest management","pulpwood, softwood, measured as solid wood under bark"
"softwood forestry, spruce, sustainable forest management","pulpwood, softwood, measured as solid wood under bark"
"softwood forestry, spruce, sustainable forest management","pulpwood, softwood, measured as solid wood under bark"
"softwood forestry, spruce, sustainable forest management","pulpwood, softwood, measured as solid wood under bark"
"softwood forestry, spruce, sustainable forest management","pulpwood, softwood, measured as solid wood under bark"
"softwood forestry, spruce, sustainable forest management","pulpwood, softwood, measured as solid wood under bark"
"softwood forestry, spruce, sustainable forest management","pulpwood, softwood, measured as solid wood under bark"
"softwood forestry, pine, sustainable forest management","pulpwood, softwood, measured as solid wood under bark"
"softwood forestry, pine, sustainable forest management","pulpwood, softwood, measured as solid wood under bark"
"softwood forestry, pine, sustainable forest management","pulpwood, softwood, measured as solid wood under bark"
"softwood forestry, pine, sustainable forest management","pulpwood, softwood, measured as solid wood under bark"
"softwood forestry, pine, sustainable forest management","pulpwood, softwood, measured as solid wood under bark"
"softwood forestry, pine, sustainable forest management","pulpwood, softwood, measured as solid wood under bark"
"softwood forestry, pine, sustainable forest management","pulpwood, softwood, measured as solid wood under bark"
"softwood forestry, pine, sustainable forest management","pulpwood, softwood, measured as solid wood under bark"
"softwood forestry, pine, sustainable forest management","pulpwood, softwood, measured as solid wood under bark"
"softwood forestry, pine, sustainable forest management","pulpwood, softwood, measured as solid wood under bark"
"softwood forestry, pine, sustainable forest management","pulpwood, softwood, measured as solid wood under bark"
"softwood forestry, pine, sustainable forest management","pulpwood, softwood, measured as solid wood under bark"
"softwood forestry, pine, sustainable forest management","pulpwood, softwood, measured as solid wood under bark"
"softwood forestry, pine, sustainable forest management","pulpwood, softwood, measured as solid wood under bark"
"softwood forestry, pine, sustainable forest management","pulpwood, softwood, measured as solid wood under bark"
"softwood forestry, pine, sustainable forest management","pulpwood, softwood, measured as solid wood under bark"
"softwood forestry, pine, sustainable forest management","pulpwood, softwood, measured as solid wood under bark"
"softwood forestry, pine, sustainable forest management","cleft timber, measured as dry mass"
"softwood forestry, pine, sustainable forest management","cleft timber, measured as dry mass"
"softwood forestry, pine, sustainable forest management","cleft timber, measured as dry mass"
"softwood forestry, pine, sustainable forest management","cleft timber, measured as dry mass"
"softwood forestry, pine, sustainable forest management","cleft timber, measured as dry mass"
"softwood forestry, pine, sustainable forest management","cleft timber, measured as dry mass"
"softwood forestry, pine, sustainable forest management","cleft timber, measured as dry mass"
"softwood forestry, pine, sustainable forest management","cleft timber, measured as dry mass"
"softwood forestry, pine, sustainable forest management","cleft timber, measured as dry mass"
"softwood forestry, pine, sustainable forest management","cleft timber, measured as dry mass"
"softwood forestry, pine, sustainable forest management","cleft timber, measured as dry mass"
"softwood forestry, pine, sustainable forest management","cleft timber, measured as dry mass"
"softwood forestry, pine, sustainable forest management","cleft timber, measured as dry mass"
"softwood forestry, pine, sustainable forest management","cleft timber, measured as dry mass"
"softwood forestry, pine, sustainable forest management","cleft timber, measured as dry mass"
"softwood forestry, pine, sustainable forest management","cleft timber, measured as dry mass"
"softwood forestry, pine, sustainable forest management","cleft timber, measured as dry mass"
"softwood forestry, pine, sustainable forest management","bundle, energy wood, measured as dry mass"
"softwood forestry, pine, sustainable forest management","bundle, energy wood, measured as dry mass"
"softwood forestry, pine, sustainable forest management","bundle, energy wood, measured as dry mass"
"softwood forestry, pine, sustainable forest management","bundle, energy wood, measured as dry mass"
"softwood forestry, pine, sustainable forest management","bundle, energy wood, measured as dry mass"
"softwood forestry, pine, sustainable forest management","bundle, energy wood, measured as dry mass"
"softwood forestry, pine, sustainable forest management","bundle, energy wood, measured as dry mass"
"softwood forestry, pine, sustainable forest management","bundle, energy wood, measured as dry mass"
"softwood forestry, pine, sustainable forest management","bundle, energy wood, measured as dry mass"
"softwood forestry, pine, sustainable forest management","bundle, energy wood, measured as dry mass"
"softwood forestry, pine, sustainable forest management","bundle, energy wood, measured as dry mass"
"softwood forestry, pine, sustainable forest management","bundle, energy wood, measured as dry mass"
