scenario,region,variables,unit,2019,2030,2040,2050,2060
Extensive reindustrialization - M0,FR,Distribution losses|Electricity|Low to medium,TWh/year,1,0.973,0.973,0.973,0.973
Extensive reindustrialization - M0,FR,Distribution losses|Gaseous fuel|Low to high,PJ/year,1,0.9975,0.9975,0.9975,0.9975
Extensive reindustrialization - M0,FR,Transmission losses|Electricity|Medium to high,TWh/year,1,0.935,0.935,0.935,0.935
Extensive reindustrialization - M0,FR,Efficiency|Electricity|Hydrogen|Fuel cell,%,50,58,62,64,65
Extensive reindustrialization - M0,FR,Production|Electricity|Low to medium,TWh/year,1,1,1,1,1
Extensive reindustrialization - M0,FR,Production|Electricity|Medium to high,TWh/year,1,1,1,1,1
Extensive reindustrialization - M0,FR,Production|Electricity|Import,TWh/year,2.035906643,2.591119097,8.331281392,43.43347193,101.5727651
Extensive reindustrialization - M0,FR,Consumption|Electricity|Export,TWh/year,58.73590664,69.8911191,90.03128139,56.13347193,131.2727651
Extensive reindustrialization - M0,FR,Production|Electricity|Total without production from flexibility,TWh/year,532.9,628.1,723.3,835.8,847.7
Extensive reindustrialization - M0,FR,Production|Electricity|Conventional|Coal,TWh/year,1.423648995,0.710980902,0,0,0
Extensive reindustrialization - M0,FR,Production|Electricity|Conventional|Fuel oil,TWh/year,2.04649543,1.022035047,0,0,0
Extensive reindustrialization - M0,FR,Production|Electricity|Conventional|Natural gas,TWh/year,34.345532,19.01873914,3.677213629,0.466419316,0
Extensive reindustrialization - M0,FR,Production|Electricity|Conventional|Waste,TWh/year,1.957517368,1.777452256,1.575948698,1.679109536,1.521256368
Extensive reindustrialization - M0,FR,Production|Electricity|Hydro|Reservoir,TWh/year,7.687704572,8.304256939,8.797295845,9.373162568,8.491991101
Extensive reindustrialization - M0,FR,Production|Electricity|Run-of-river hydro,TWh/year,40.36044901,43.59734893,46.18580319,49.20910348,44.58295328
Extensive reindustrialization - M0,FR,Production|Electricity|Nuclear|Evolutionary Power Reactor,TWh/year,0,0,0,0,0
Extensive reindustrialization - M0,FR,Production|Electricity|Nuclear|Pressure water reactor,TWh/year,337.2268557,258.3526854,177.2066759,0,0
Extensive reindustrialization - M0,FR,Production|Electricity|Nuclear|Small Modular Reactor,TWh/year,0,0,0,0,0
Extensive reindustrialization - M0,FR,Production|Electricity|Renewable|Biomass,TWh/year,8.630872032,8.665079746,8.580165135,9.141818587,8.282395779
