scenario;region;variables;unit;2019;2040
Extensive reindustrialization - M0;FR;Distribution losses|Gaseous fuel|Low to high;PJ/year;0.9975;0.9975
Extensive reindustrialization - M0;FR;Efficiency|Electricity|Hydrogen|Fuel cell;%;50;62
Extensive reindustrialization - M0;FR;Production|Electricity|Low to medium;TWh/year;1;1
Extensive reindustrialization - M0;FR;Production|Electricity|Medium to high;TWh/year;1;1
Extensive reindustrialization - M0;FR;Production|Electricity|Import;TWh/year;8.331281392;8.331281392
Extensive reindustrialization - M0;FR;Consumption|Electricity|Export;TWh/year;90.03128139;90.03128139
Extensive reindustrialization - M0;FR;Production|Electricity|Total without production from flexibility;TWh/year;723.3;723.3
Extensive reindustrialization - M0;FR;Production|Electricity|Conventional|Coal;TWh/year;0;0
Extensive reindustrialization - M0;FR;Production|Electricity|Conventional|Fuel oil;TWh/year;0;0
Extensive reindustrialization - M0;FR;Production|Electricity|Conventional|Natural gas;TWh/year;3.677213629;3.677213629
Extensive reindustrialization - M0;FR;Production|Electricity|Conventional|Waste;TWh/year;1.575948698;1.575948698
Extensive reindustrialization - M0;FR;Production|Electricity|Hydro|Reservoir;TWh/year;8.797295845;8.797295845
Extensive reindustrialization - M0;FR;Production|Electricity|Run-of-river hydro;TWh/year;46.18580319;46.18580319
Extensive reindustrialization - M0;FR;Production|Electricity|Nuclear|Evolutionary Power Reactor;TWh/year;0;0
Extensive reindustrialization - M0;FR;Production|Electricity|Nuclear|Pressure water reactor;TWh/year;177.2066759;177.2066759
Extensive reindustrialization - M0;FR;Production|Electricity|Nuclear|Small Modular Reactor;TWh/year;0;0
Extensive reindustrialization - M0;FR;Production|Electricity|Renewable|Biomass;TWh/year;8.580165135;8.580165135
Extensive reindustrialization - M0;FR;Production|Electricity|Renewable|Photovoltaic;TWh/year;149.1022574;149.1022574
Extensive reindustrialization - M0;FR;Production|Electricity|Renewable|Sea;TWh/year;3.764766335;3.764766335
Extensive reindustrialization - M0;FR;Production|Electricity|Renewable|Wind turbines|Offshore;TWh/year;127.4767392;127.4767392
Extensive reindustrialization - M0;FR;Production|Electricity|Renewable|Wind turbines|Onshore;TWh/year;106.9018534;106.9018534
Extensive reindustrialization - M0;FR;Production|Electricity|Storage|Hydro|Pumped storage;TWh/year;12.7;12.7
Extensive reindustrialization - M0;FR;Production|Electricity|Storage|Hydrogen;TWh/year;5.9;5.9
Extensive reindustrialization - M0;FR;Production|Gaseous fuel|Biomethane;%;54;54
Extensive reindustrialization - M0;FR;Production|Gaseous fuel|CNG;%;26.2;26.2
Extensive reindustrialization - M0;FR;Production|Gaseous fuel|LNG;%;19.8;19.8
Extensive reindustrialization - M0;FR;Production|Gaseous fuel|Low to high;%;1;1
