scenario,region,variables,unit,2019,2050
Extensive reindustrialization - M0,FR,Distribution losses|Gaseous fuel|Low to high,PJ/year,0.9975,0.9975
Extensive reindustrialization - M0,FR,Efficiency|Electricity|Hydrogen|Fuel cell,%,50,64
Extensive reindustrialization - M0,FR,Production|Electricity|Low to medium,TWh/year,1,1
Extensive reindustrialization - M0,FR,Production|Electricity|Medium to high,TWh/year,1,1
Extensive reindustrialization - M0,FR,Production|Electricity|Import,TWh/year,43.43347193,43.43347193
Extensive reindustrialization - M0,FR,Consumption|Electricity|Export,TWh/year,56.13347193,56.13347193
Extensive reindustrialization - M0,FR,Production|Electricity|Total without production from flexibility,TWh/year,835.8,835.8
Extensive reindustrialization - M0,FR,Production|Electricity|Conventional|Coal,TWh/year,0,0
Extensive reindustrialization - M0,FR,Production|Electricity|Conventional|Fuel oil,TWh/year,0,0
Extensive reindustrialization - M0,FR,Production|Electricity|Conventional|Natural gas,TWh/year,0.466419316,0.466419316
Extensive reindustrialization - M0,FR,Production|Electricity|Conventional|Waste,TWh/year,1.679109536,1.679109536
Extensive reindustrialization - M0,FR,Production|Electricity|Hydro|Reservoir,TWh/year,9.373162568,9.373162568
Extensive reindustrialization - M0,FR,Production|Electricity|Run-of-river hydro,TWh/year,49.20910348,49.20910348
Extensive reindustrialization - M0,FR,Production|Electricity|Nuclear|Evolutionary Power Reactor,TWh/year,0,0
Extensive reindustrialization - M0,FR,Production|Electricity|Nuclear|Pressure water reactor,TWh/year,0,0
Extensive reindustrialization - M0,FR,Production|Electricity|Nuclear|Small Modular Reactor,TWh/year,0,0
Extensive reindustrialization - M0,FR,Production|Electricity|Renewable|Biomass,TWh/year,9.141818587,9.141818587
Extensive reindustrialization - M0,FR,Production|Electricity|Renewable|Photovoltaic,TWh/year,277.7060605,277.7060605
Extensive reindustrialization - M0,FR,Production|Electricity|Renewable|Sea,TWh/year,8.115696093,8.115696093
Extensive reindustrialization - M0,FR,Production|Electricity|Renewable|Wind turbines|Offshore,TWh/year,257.65003,257.65003
Extensive reindustrialization - M0,FR,Production|Electricity|Renewable|Wind turbines|Onshore,TWh/year,166.325128,166.325128
Extensive reindustrialization - M0,FR,Production|Electricity|Storage|Hydro|Pumped storage,TWh/year,17.4,17.4
